
> wedding-rsvp@0.0.0 server
> node server/index.js

Server running on http://localhost:3000
MongoDB Connected: 127.0.0.1
Seeding Check Complete.
[2026-03-28T10:43:01.860Z] GET /api/guests
[2026-03-28T10:43:01.862Z] GET /api/rsvps
[2026-03-28T10:43:03.856Z] GET /api/users
[2026-03-28T10:43:03.857Z] GET /api/guests
[2026-03-28T10:43:03.858Z] GET /api/rsvps
[2026-03-28T10:43:06.037Z] DELETE /api/guests/69c7b02fa1406870de2638d2
[2026-03-28T10:43:06.046Z] GET /api/users
[2026-03-28T10:43:06.047Z] GET /api/guests
[2026-03-28T10:43:06.049Z] GET /api/rsvps
[2026-03-28T10:43:07.871Z] DELETE /api/guests/69c7ab724aea729cc49b9549
[2026-03-28T10:43:07.880Z] GET /api/users
[2026-03-28T10:43:07.881Z] GET /api/guests
[2026-03-28T10:43:07.883Z] GET /api/rsvps
[2026-03-28T10:43:08.857Z] GET /api/users
[2026-03-28T10:43:08.858Z] GET /api/guests
[2026-03-28T10:43:08.859Z] GET /api/rsvps
[2026-03-28T10:43:14.173Z] POST /api/login
[2026-03-28T10:43:14.297Z] GET /api/users
[2026-03-28T10:43:14.299Z] GET /api/guests
[2026-03-28T10:43:14.301Z] GET /api/rsvps
[2026-03-28T10:43:19.295Z] GET /api/users
[2026-03-28T10:43:19.297Z] GET /api/guests
[2026-03-28T10:43:19.299Z] GET /api/rsvps
[2026-03-28T10:43:24.295Z] GET /api/users
[2026-03-28T10:43:24.297Z] GET /api/guests
[2026-03-28T10:43:24.299Z] GET /api/rsvps
[2026-03-28T10:43:29.296Z] GET /api/users
[2026-03-28T10:43:29.298Z] GET /api/guests
[2026-03-28T10:43:29.301Z] GET /api/rsvps
[2026-03-28T10:43:34.297Z] GET /api/users
[2026-03-28T10:43:34.299Z] GET /api/guests
[2026-03-28T10:43:34.301Z] GET /api/rsvps
[2026-03-28T10:43:39.296Z] GET /api/users
[2026-03-28T10:43:39.297Z] GET /api/guests
[2026-03-28T10:43:39.299Z] GET /api/rsvps
[2026-03-28T10:43:44.296Z] GET /api/users
[2026-03-28T10:43:44.297Z] GET /api/guests
[2026-03-28T10:43:44.299Z] GET /api/rsvps
[2026-03-28T10:43:49.297Z] GET /api/users
[2026-03-28T10:43:49.299Z] GET /api/guests
[2026-03-28T10:43:49.300Z] GET /api/rsvps
[2026-03-28T10:43:54.298Z] GET /api/users
[2026-03-28T10:43:54.299Z] GET /api/guests
[2026-03-28T10:43:54.301Z] GET /api/rsvps
[2026-03-28T10:43:59.296Z] GET /api/users
[2026-03-28T10:43:59.297Z] GET /api/guests
[2026-03-28T10:43:59.299Z] GET /api/rsvps
[2026-03-28T10:44:04.298Z] GET /api/users
[2026-03-28T10:44:04.300Z] GET /api/guests
[2026-03-28T10:44:04.302Z] GET /api/rsvps
[2026-03-28T10:44:09.297Z] GET /api/users
[2026-03-28T10:44:09.298Z] GET /api/guests
[2026-03-28T10:44:09.300Z] GET /api/rsvps
[2026-03-28T10:44:38.882Z] GET /api/users
[2026-03-28T10:44:38.886Z] GET /api/guests
[2026-03-28T10:44:38.895Z] GET /api/rsvps
[2026-03-28T10:51:22.016Z] GET /api/content/events
[2026-03-28T10:51:22.020Z] GET /api/content/gallery
[2026-03-28T10:51:22.021Z] GET /api/content/moments
[2026-03-28T10:51:22.021Z] GET /api/content/home_data
[2026-03-28T10:51:22.022Z] GET /api/content/contact_data
[2026-03-28T10:51:22.022Z] GET /api/content/family_people
[2026-03-28T10:51:22.100Z] GET /api/content/stories
[2026-03-28T10:51:22.101Z] GET /api/content/family_families
[2026-03-28T10:51:22.101Z] GET /api/content/family_links
[2026-03-28T10:51:22.102Z] GET /api/content/groom_family_families
[2026-03-28T10:51:22.103Z] GET /api/content/groom_family_people
[2026-03-28T10:51:22.105Z] GET /api/content/groom_family_links
[2026-03-28T10:51:22.105Z] GET /api/rsvps
[2026-03-28T10:51:22.109Z] GET /api/content/home_data
[2026-03-28T10:51:22.110Z] GET /api/content/contact_data
[2026-03-28T10:51:22.111Z] GET /api/content/events
[2026-03-28T10:51:22.113Z] GET /api/content/moments
[2026-03-28T10:51:22.115Z] GET /api/content/family_people
[2026-03-28T10:51:22.116Z] GET /api/content/gallery
[2026-03-28T10:51:22.117Z] GET /api/content/family_families
[2026-03-28T10:51:22.120Z] GET /api/content/groom_family_families
[2026-03-28T10:51:22.121Z] GET /api/content/family_links
[2026-03-28T10:51:22.123Z] GET /api/content/groom_family_people
[2026-03-28T10:51:22.127Z] GET /api/content/groom_family_links
[2026-03-28T10:51:22.130Z] GET /api/rsvps
[2026-03-28T10:51:22.136Z] GET /api/content/stories
[2026-03-28T10:51:22.940Z] GET /api/content/events
[2026-03-28T10:51:22.941Z] GET /api/content/gallery
[2026-03-28T10:51:22.942Z] GET /api/content/moments
[2026-03-28T10:51:22.944Z] GET /api/content/home_data
[2026-03-28T10:51:22.948Z] GET /api/content/stories
[2026-03-28T10:51:22.950Z] GET /api/content/contact_data
[2026-03-28T10:51:22.952Z] GET /api/content/family_people
[2026-03-28T10:51:22.952Z] GET /api/content/family_families
[2026-03-28T10:51:22.953Z] GET /api/content/family_links
[2026-03-28T10:51:22.954Z] GET /api/content/groom_family_people
[2026-03-28T10:51:22.955Z] GET /api/content/groom_family_families
[2026-03-28T10:51:22.956Z] GET /api/content/groom_family_links
[2026-03-28T10:51:22.957Z] GET /api/rsvps
[2026-03-28T10:51:22.960Z] GET /api/content/events
[2026-03-28T10:51:22.961Z] GET /api/content/gallery
[2026-03-28T10:51:22.962Z] GET /api/content/moments
[2026-03-28T10:51:22.962Z] GET /api/content/home_data
[2026-03-28T10:51:22.963Z] GET /api/content/stories
[2026-03-28T10:51:22.964Z] GET /api/content/contact_data
[2026-03-28T10:51:22.965Z] GET /api/content/family_people
[2026-03-28T10:51:22.965Z] GET /api/content/family_families
[2026-03-28T10:51:22.966Z] GET /api/content/family_links
[2026-03-28T10:51:22.967Z] GET /api/content/groom_family_people
[2026-03-28T10:51:22.968Z] GET /api/content/groom_family_families
[2026-03-28T10:51:22.969Z] GET /api/content/groom_family_links
[2026-03-28T10:51:22.969Z] GET /api/rsvps
[2026-03-28T10:51:23.107Z] GET /api/content/events
[2026-03-28T10:51:23.107Z] GET /api/content/gallery
[2026-03-28T10:51:23.108Z] GET /api/content/moments
[2026-03-28T10:51:23.108Z] GET /api/content/home_data
[2026-03-28T10:51:23.109Z] GET /api/content/stories
[2026-03-28T10:51:23.113Z] GET /api/content/contact_data
[2026-03-28T10:51:23.116Z] GET /api/content/family_people
[2026-03-28T10:51:23.117Z] GET /api/content/family_families
[2026-03-28T10:51:23.118Z] GET /api/content/family_links
[2026-03-28T10:51:23.119Z] GET /api/content/groom_family_people
[2026-03-28T10:51:23.120Z] GET /api/content/groom_family_families
[2026-03-28T10:51:23.120Z] GET /api/content/groom_family_links
[2026-03-28T10:51:23.121Z] GET /api/rsvps
[2026-03-28T10:51:23.122Z] GET /api/content/events
[2026-03-28T10:51:23.123Z] GET /api/content/gallery
[2026-03-28T10:51:23.125Z] GET /api/content/moments
[2026-03-28T10:51:23.125Z] GET /api/content/home_data
[2026-03-28T10:51:23.126Z] GET /api/content/stories
[2026-03-28T10:51:23.127Z] GET /api/content/contact_data
[2026-03-28T10:51:23.128Z] GET /api/content/family_people
[2026-03-28T10:51:23.128Z] GET /api/content/family_links
[2026-03-28T10:51:23.129Z] GET /api/content/family_families
[2026-03-28T10:51:23.130Z] GET /api/content/groom_family_people
[2026-03-28T10:51:23.130Z] GET /api/content/groom_family_families
[2026-03-28T10:51:23.131Z] GET /api/content/groom_family_links
[2026-03-28T10:51:23.131Z] GET /api/rsvps
[2026-03-28T10:51:23.294Z] GET /api/content/events
[2026-03-28T10:51:23.295Z] GET /api/content/gallery
[2026-03-28T10:51:23.296Z] GET /api/content/moments
[2026-03-28T10:51:23.296Z] GET /api/content/stories
[2026-03-28T10:51:23.297Z] GET /api/content/contact_data
[2026-03-28T10:51:23.297Z] GET /api/content/family_people
[2026-03-28T10:51:23.304Z] GET /api/content/home_data
